tweet,Sentimen
Tiap scrolling timeline baca apdetan tindakan pemerintah terkait covid selalu ada pro kontra batin apa emg bener adanya spt itu atau media yg menyampaikan sedemikian rupa sampe bisa memancing keributan:(,Negatif
"Udah keliatan kok pemerintah indonesia ngambil langkah apa dlm penanganan Covid ini. Yup...”Herd Immunity” ,kasarnya begini..yang disiplin, selalu jalankan protokol kesehatan covid -> sehat dan gak kena, kalo yang masa bodo ya bisa jadi kena, biarkan alam yang menyeleksi..  https://twitter.com/ainunnajib/status/1258265522681950208 …",Negatif
"Dibilangin #dirumahaja dulu, batu banget sih. 6 positif Covid-19 abis Taraweh di Sidoarjo.. jadi yg salah pemerintah apa kalian gak ada otak?",Positif
"Pilih2 buah manggis.
Dibuka tetap manis.
Jgn pilih yg sok manis.
Salah pilih cebong nangis.
Saya mah pilih @aniesbaswedan

Dampak Covid, Pemerintah  Ungkap 2,8 Juta Korban PHK, Akhirnya Fakta Diungkap 15 Juta !!

Yg dpt kerja : TKA ?

  http://news.onlineindo.tv/2020/05/07/dampak-covid-19-pemerintah-cuma-ungkap-28-juta-korban-phk-akhirnya-fakta-diungkap-ada-15-juta-mengerikan/ … via @Onlineindo News",Negatif
"Lindungi diri dan keluarga kita dari Pandemik COVID-19 dengan mengikuti himbauan pemerintah agar tidak mudik. Semoga pandemik ini cepat berlalu. Amin

#MudikTetapDilarang pic.twitter.com/rFcdJxcaY5",Positif
"Pemerintah butuh kesadaran dari kita (masyarakat) agar tidak mudik. Kesadaran kita lebih mempercepat pemerintah untuk memutus mata rantai penyebaran Covid-19.

#MudikTetapDilarang pic.twitter.com/cDttvPEcaW",Positif
Saya rasa nyawa tenaga medis dan dokter @PBIDI tdk di apresisai pemerintah jika para menterinya pak @jokowi tdk mbuat kebijakan yg menghambat penyebaran covid 19..salah satunya tdk ditutupnya moda transportasi umum dan pribadi utk fasilitas mudik.termasuk kereta api. @KAI121 .,Negatif
"Dalam raker di Banggar DPR, Fraksi PKS DPR RI satu-satunya Fraksi yang menolak ditetapkannya Perppu 1/2020 menjadi UU. Karena Perppu itu potensial melanggar Konstitusi. Hendaknya Pemerintah lebih fokus atasi covid-19, dan hadirkan Perppu yg tak bermasalah. Doakan kami istiqomah.  pic.twitter.com/TT5V6mdfZ2",Negatif
"Tidak terasa nih sudah H-3 menuju acara Upgrading HM Fisioterapi tahun 2020😭
Yuk persiapkan diri kalian untuk mengikuti rangkaian Upgrading HM Fisioterapi😁 Sehubungan dengan situasi Pandemi Covid-19 yang belum kunjung reda dan mengikuti anjuran pemerintah untuk #dirumahaja ,",Positif
"Bersama Kita Bisa Melewati Pandemi COVID-19 dengan bersama sama Mematuhi setiap Anjuran Pemerintah untuk tidak terlalu banyak beraktifitas diluar rumah jika tidak ada kebutuhan yang urgent/Mendesak.

#AyoBersamaKitaCegahPenularanCorona pic.twitter.com/u558L8ssIZ",Positif
"Anda mengundang orang orang tak memgwrti untuk komen
Zaman Covid ini tdk jelas apa solusinya, wajar saja bbrp langkah masih ngambang ... apresiasi lah pemerintah sudah berusaha menangani, ... jangan mencela saja. Kalau Anda ini wakil rakyat yg punya solusi, bicara sesuai jalurmu",Negatif
"Bersama Kita Bisa Melewati Pandemi COVID-19 dengan bersama sama Mematuhi setiap Anjuran Pemerintah untuk tidak terlalu banyak beraktifitas diluar rumah jika tidak ada kebutuhan yang urgent/Mendesak.

#AyoBersamaKitaCegahPenularanCorona pic.twitter.com/EW69TxJWpU",Positif
"Prediksi Covid-19 berakhir Oktober. Jika benar, apa rakyat akan tahan? Dengan realita kebijakan Pemerintah yang mencla-mencle. Haha",Negatif
"Bersama Kita Bisa Melewati Pandemi COVID-19 dengan bersama sama Mematuhi setiap Anjuran Pemerintah untuk tidak terlalu banyak beraktifitas diluar rumah jika tidak ada kebutuhan yang urgent/Mendesak.

#AyoBersamaKitaCegahPenularanCorona pic.twitter.com/AoN8mg8v3x",Positif
"Relawan Yaman berjasa ikut melawan covid-19 di China. Kapan nih kadrun Yaman disini ikut juga membantu di Indonesia dan negara lainnya ? Dan bukan terus recokin pemerintah, wkwkwk...
Yemeni volunteer contributes to fighting COVID-19 in China  https://youtu.be/7EOki7ALL6s  via @YouTube",Positif
"""Mereka ini patut dicontoh karena berupaya menyukseskan program pemerintah dalam memutus mata rantai penyebaran Covid-19""  http://akurat.co/news/id-1107996-read-pulang-dari-jakarta-ibu-dan-dua-anaknya-isolasi-diri-di-ladang …",Positif
Pemda berusaha maksimal menangani covid 19 pemerintah pusat bikin amburadul,Negatif
Himbauan di pertokoan agar masyarakat mengikuti anjuran Pemerintah untuk mencegah penyebaran Covid-19  pic.twitter.com/6u4sdCrJI3,Positif
Intervensi yang agresif dari Pemerintah telah sepenuhnya dilakukan untuk menekan angka kasus Covid-19 perlu diliterasikan kepada masyarakat. Kebijakan tersebut agar tren penurunan kasus Covid-19 segera terwujud.  pic.twitter.com/KLsxRGwt4D,Positif
"Tahun 2020 dimana semua kalangan di uji dengan adanya pandemi covid - 19, tapi ada satu hal yang aneh. ""Pemerintah"". Peran pemerintah kok gak muncul ? beda saat kampanye dimana mana unjuk gigi.",Negatif
"Intinya ya tergantung pribadi masing2. Kalo sadar kondisi begini gausah keluar rumah kalo ga terpaksa. Kadang kaliannya aja yg gatel bgt keluar rumah pdhl ga urgent, trs ntar kalo ketularan covid koar2 'pemerintah sih lg kayak gini malah ngebuka transportasi lg' beh tolol",Positif
"Bukan pemerintah yang salah, tapi people nya aja yang tidak nurut.

Kurang bijak bila dikit2 nyalahin pemerintah, pemerintah sudah melakukan yang terbaik untuk menghadapi pandemi Covid-19 di tasik.

Handbook PSBB sudah disebar, perwalkot sudah dipublikasikan.

Terus harus gmn lg?",Positif
"Selama musibah covid-19 ini semua akses pariwisata khusus di Lombok untuk sementara di tutup untuk memutuskan mata rantai covid-19 ini. 
Mari kita sebagai masyarakat mematuhi semua aturan pemerintah demi kebaikan seluruh bangsa biar covid-19 ini cepat berlalu. 
#StayHome pic.twitter.com/muT0lbeTnA",Positif
"Patuhi Pemerintah, Tetap di Rumah, Putus Mata Rantai Covid-19 di Kebumen.
.
#selalusehat
#dirumahsaja
#KebumenLawanCorona pic.twitter.com/wutQWLzU1E",Positif
"betapa pedih melihat pengorbanan pemerintah, yang rela keluar rumah dengan resiko terkena covid, sedangkan rakyat cukup disuruh dirumah saja agar tetap sehat. sungguh terharu",Positif
"Setiap kebijakan yg di buat pemerintah larangan mudik itu pasti yg terbaik untuk rakyat

Semata - mata pemerintah hanya untuk mencegah penularan covid ini biar tidak menyebar lebih luas

#MudikTetapDilarang
#MudikTetapDilarang pic.twitter.com/DxiG2KUEJD",Positif
"Patuhi Pemerintah, Tetap di Rumah, Putus Mata Rantai Covid-19 di Kebumen.
.
#selalusehat
#dirumahsaja
#KebumenLawanCorona pic.twitter.com/h2E1LAcLpu",Positif
"sempet mikir, sekarang apa apa covid. Ada ngga sih kemungkinan data orang meninggal karena covid yg di share pemerintah itu ngga semuanya murni covid. sengaja dibuat banyak biar kita takut.",Negatif
"Ditengah pandemi yang tengah kita alami sekarang, informasi pelacakan pergerakan tiap orang dibutuhkan oleh Pemerintah dalam upaya menghentikan penyebaran Covid-19. 
Aplikasi PeduliLindungi yang dikeluarkan oleh Kementerian Kominfo RI  pic.twitter.com/dWwHxSw9qs",Positif
"Ketika ada larangan mudik saja banyak orang masih tak patuh. Jadi, bagaimana menjelaskan potensi kenaikan dengan upaya menekan laju angka covid-19?🤔

Aturan Mudik Berubah Lagi, Pemerintah Mencla-mencle dan Tak Serius Cegah Corona -  http://kumparan.com  https://kumparan.com/kumparannews/5-berita-populer-aturan-mudik-berubah-lagi-hingga-hadis-kiamat-15-ramadhan-1tMgf0lkSQv …",Negatif
Dapat sms dari “MPR Peduli” buat ngajak donasi covid-19. Are u serious? Lembaga Pemerintah minta bantuan ke rakyat? Yang ada rakyat menerima bantuan langsung dari Pemerintah bukan alih-alih ngajak donasi dari rakyat lalu nanti mengatasnamakan bantuan dari Pemerintah buat rakyat🙏  pic.twitter.com/IBSZ3b9nAG,Negatif
Kebijakan pemerintah yang buruk penyebab penularan COVID-19  https://twitter.com/OposisiCerdas/status/1258204556305084420 …,Negatif
"Sudah lah ikuti anjuran pemerintah belajar dirumah, bekerja dirumah beribadah dirumah demi memutus rantai penyebaran covid-19

#MudikTetapDilarang
#MudikTetapDilarang",Positif
"Sdh resmi pemerintah @jokowi memilih opsi untuk menerapkan HERD IMMUNITY dalam penanganan #COVID19 di Indonesia.

Jokowi: Kita Harus Hidup Berdamai dengan Covid-19 sampai Vaksin Ditemukan  http://kmp.im/AFzxGl ",Positif
"Mari kita patuhi pemerintah, tetaplaj dirumah putus mata rantai Covid 19 di Kebumen
#humaspolreskebumen pic.twitter.com/fQM9mBii0d",Positif
"Ah berlebihan, 98 pemerintah sampe tumbang, Covid-19 kan engga.",Negatif
"Framing2 spt ini jelas menyesatkan, disatu sisi memojokkan Pemerintah, dilain sisi memuja2 Gaberner DKI, yg seolah2 lebih baik dr Pemerintah dlm bekerja menangani Covid 19, dgn alasan Kritik, @msaid_didu lupa bahwa perlu sinergi Pempus dan Daerah utk bersama2 menangani Covid 19 *",Negatif
"Belum satu bulan sejak di peraturan larangan mudik dikeluarkan untuk menekan penyebaran covid -19 di Indonesia, perhari ini perarturan itu berubah lagi. Saya mempertanyakan konsistensi pemerintah dalam membuat sebuah aturan, apakah aturan yang sudah di buat boleh berubah-ubah",Negatif
"Dengarkan kata Habib Husein Bin Thoha Baaqil, Tuban dengarkan pemerintah soal Covid-19 mudik atau pulangkampung. Siapa lg mau ngeyel.  pic.twitter.com/xXVfUvoQed",Positif
Himbauan di pertokoan agar masyarakat mengikuti anjuran Pemerintah untuk mencegah penyebaran Covid-19  pic.twitter.com/yxewQZPEjT,Positif
"Kata Kadin 15 juta. Itupun penambahannya. Kalau ditambah pengangguran existing yg seblm covid jd > 15juta.. di sisi lain, Pemerintah terus welcoming TKA China. Suram!",Negatif
"Kedua, selama ini kan tetep pemerintah harus kita turuti (yaa walaupun ada beberapa yg memang gabuka data ttg covid) tp kan selama ikut pemerintah, kita insyaaAllah aman. Toh pemerintah juga berbuat baik buat kitanya juga",Positif
Berikan Edukasi Politik. Apri Sujadi Tegaskan Bantuan Covid-19 Murni Atas Kepedulian Pemerintah  http://dlvr.it/RW8tk2  pic.twitter.com/rtMOZwFPtB,Positif
"Sedih ya liat pemerintah kita begini, ini lagi si menhub abis sakit ujug2 ambil kebijakan kaya gitu. Dia uda rasain gimana rasanya kena Covid kok ya gak ada empatinya bikin kebijakan gitu.. Bom waktu untuk Indonesia ini sih",Negatif
"Tagar kita hari ini adlh
#MudikTetapDilarang
utk mngedukasi msyrkt bhw Pemerintah yg ttp melarang Mudik mskipun jalur transportasi rencananya akn dbuka sbgai pnjabaran Permenhub Nomor 25 Thn 2020 tntng Pngendalian Transportasi Slma Musim Mudik dlm rangka Pncegahan Pnyebaran Covid  pic.twitter.com/HZ9DEGopDl",Positif
"Sudahlah...dengerin podcast horor lagi aja, daripada lama-lama ditanyain sudah berbuat apa untuk bantu pemerintah melawan Covid-19😂",Negatif
"#MudikTetapDilarang
Pemerintah tlh memutuskan melarang mudik agar penyebaran virus corona tdk menyebar ke mana"". 
#MudikTetapDilarang
Sbg WNI yg baik kita wajib mentaatinya agar pandemi covid-19 cepat selesai d negeri ini.  pic.twitter.com/WXfbcg87pY",Positif
"Sekali lagi....

Yg bisa menghentikan covid-19 adalah diri kita sendiri.
Hanya kedisiplinan dan kesadaran masyarakat yg bisa membunuh corona.

Pemerintah hanya mengatur dan menjaga supaya kita tetep di rel yg benar.

Jangan Mudik👇🏻
#MudikTetapDilarang
 https://finance.detik.com/berita-ekonomi-bisnis/d-5005376/mudik-tetap-dilarang-ini-kriteria-ketat-untuk-bisa-ke-luar-kota …",Positif
"Tetap jaga kesehatan temen², ikuti protokol pencegahan covid sesuai anjuran pemerintah dan tenaga kesehatan yg terpercaya ya. Inget itu, dua itu aja lah yg ditaati gausah dengerin orang² sok tau di luar sana malah bikin makin ajurrrrr",Positif
Patuhi anjuran pemerintah guna mencegah penyebaran covid-19  pic.twitter.com/TontneyfgJ,Positif
"Gak gentar sama COVID-19 karena kita sama-sama saling jaga sesuai dengan anjuran pemerintah, nah untuk itu EVENTku Movement Festival bakal nemenin kamu selama #dirumahaja.| mulai 27 April – 23 Mei 2020 pukul 15.00 sore | Info cek IG : eventkuid pic.twitter.com/9Lihkb4Nf1",Positif
"percuma psbb klo transportasi umum udah dibolehin lagi, bantuan dari pemerintah gak merata dan ga cukup, kita ga dijamin buat diem di rumah doank, dulu leyeh leyeh dgn segala keangkuhan covid gbakal masuk indo, sekrg pas kelabakan terus liat negara lain dah enjoy mau ikutan enjoy",Negatif
"Kementerian perhubungan mengoperasikan kembali semua moda transportasi baik angkutan udara, laut dan darat di tengah pandemi covid 19.

Apa yg harus diperhatikan pemerintah dengan adanya kebijakan ini?

LIVE!! Anggota Ombudsman RI Bidang Transportasi, Alvin Lie  pic.twitter.com/MilL0M4w5r",Negatif
"Kecewa banget dengan dicabutnya kebijakan larangan beroperasi moda transportasi umum oleh @kemenhub151. Dilihat dari sudut pandang kesehatan yang seharusny & katanya yg diutamakan pemerintah, hal ini jelas ngak sesuai dengan upaya pemutusan rantai penyebaran covid-19 di Indonesia",Negatif
"Di zaman Covid-19 ini kita harus belajar mendengar Buruh (baik yg masih kerja atau PHK), Petani, Nelayan, Rakyat miskin Kota, Warga Desa bahkan Pasien Covid-19. Jangan dengar nya pakar terus apalagi ngecap nya Pemerintah pusat dan daerah.
#dirumahaja pic.twitter.com/So0ggKVDsh",Negatif
"Dampak Covid-19, Pemerintah Cuma Ungkap 2,8 Juta Korban PHK, Akhirnya Fakta Diungkap Ada 15 Juta, Mengerikan!  http://news.onlineindo.tv/2020/05/07/dampak-covid-19-pemerintah-cuma-ungkap-28-juta-korban-phk-akhirnya-fakta-diungkap-ada-15-juta-mengerikan/ … lewat @Onlineindo News",Negatif
"Dukung Usaha Pemerintah untuk berantas penularan Covid-19.
#BersatuLawanCovid19 #AwasProvokasiSaatPandemi pic.twitter.com/5gn3ToruVU",Positif
"Dukung Usaha Pemerintah untuk berantas penularan Covid-19.
#BersatuLawanCovid19 #AwasProvokasiSaatPandemi pic.twitter.com/q2IiNGJFVq",Positif
"Dukung Petugas Medis,Patuhi Pemerintah Tetap Di Rumah,Putus Mata Rantai Covid-19 Di Kebumen  pic.twitter.com/7i9hE8g3Rv",Positif
"Kebijakan social distancing ini menghambat roda kehidupan manusia. Salah satu sektor yang paling terdampak dari adanya wabah covid-19 saat ini adalah pendidikan. Keputusan pemerintah yang mendadak dengan meliburkan atau memindahkan kegiatan belajar mengajar menjadi di rumah,",Negatif
"Patuhi Anjuran Pemerintah
Tetap Dirumah,Putus Mata Rantai Covid-19 Di Kebumen
#JatengLawanCorona
#BersamaLawanCorona
#LebihBaikDiRumahSaja pic.twitter.com/vPfy2Thc85",Positif
"Anggota Komisi V DPR Irwan mengkritik keras upaya Kemenhub mengizinkan moda transportasi kembali beroperasi di tengah pelarangan mudik. 

Ini bukti pemerintah tidak fokus menyelamatkan manusia dalam penanganan Covid-19

#PemimpinTakPunyaHati https://www.tagar.id/transportasi-dibuka-dpr-tak-fokus-selamatkan-manusia …",Negatif
Ayo kita bersama Pemerintah untuk menghentikan rantai penyebaran Covid-19.  pic.twitter.com/oOJ0SeJ8uN,Positif
"Sembilan dari sepuluh kemungkinan, pemerintah Indonesia takkan ikut menuntut China bertanggungjawab atas pandemi Covid-19. China kan negara sahabat yang super sekali saat ini......?",Negatif
"Kaling Loloan Timur Kel. Lotim Kec. Jembrana Muztahidin menghimbau masy agar sllu mematuhi dan mentaati anjuran pemerintah guna memutus mata rantai penyebaran Covid-19 

#BersamaLawanCorona pic.twitter.com/DebO5kAZXg",Positif
"Rakyat mati2an mau mutusin rantai covid... Eh pemerintahnya mancla mencle... 

Dah jalanin hidup seperti biasanya aja lah... Wong pemerintah aja kaga peduli juga... Ga perlu lah imbauan2, ga penting!!",Negatif
"Kunci keberhasilan dalam penanganan covid di Indonesia, di tentukan oleh dua komponen
1. Kebijakan preventif pemerintah 
2. Kesadaran maayarakat",Positif
"Ayo.. dukung anjuran Pemerintah dan Maklumat Kapolri dalam memutus mata rantai Covid19.
Lindungi diri anda dan keluarga anda dari Covid19.

Inga Covid nda akan bapindah klo torng diam dirumah..  pic.twitter.com/O8GUtq5Ubz",Positif
Sayah mah kok mikirna jd ke kelakuan konyol pemerintah ngahadapi covid-19 ya Teh 🙄😂🙏,Negatif
"FYI, tagihan listrik gue baru keluar dan .... dapet diskon dari Pemerintah Thailand karena COVID-19. Tagihan listrik gue berkurang 50 persen. Hamdallah. Terima kasih, Pemerintah Thailand!",Negatif
Parah sih ini pemerintah harus segera usut biar media massa ga dominan berita covid trus  https://twitter.com/twitkabarjabar/status/1258167982246604800 …,Negatif
"Mungkin pemerintah lebih ngeprioritasin alokasi dana ke penanganan covid, biar semuanya kembali normal.
Kalian yg pengen masuk STAN pasti orang"" hebat, tapi inget disaat kalian lulus bakal jadi ASN, aku rasa bakal lebih bijak kalau kalian bisa ngerti kenapa keputusan ini diambil.",Positif
Kemarin pemerintah telah mulai melakukan repid test sebagai upaya untuk memperoleh indikasi awal apakah seseorang positif terinfeksi covid-19 atau tidak dari sini penanganannya jg akan lbh cepat jika dinyatakan positif corona #BUMNGotongRoyong Go !,Positif
#BUMNGotongRoyong keren MantapPresiden Joko Widodo ( Jokowi) mengumumkan pemerintah telah menemukan dua obat COVID-19 yang bisa menyembuhkan pasien yang terinfeksi virus corona.,Positif
Kegiatan Rutin Yang Ditingkatkan (KRYD) Polsek Teluk Meranti dalam rangka Cipta Kondisi dan memutus mata rantai penyebaran Virus Covid - 19 sesuai dengan himbauan Pemerintah RI khususnya di Kec. Teluk Meranti.  pic.twitter.com/ByHVaEomij,Positif
"Disaat pandemi covid-19 pemerintah lgi gencar2nya ngomongin soal pajak 😅.
Pak gmn dengan rakyat yg gapunya mereka tidak bekerja karena lockdown.
Masa suruh bayar pajak? Emg mereka dpt uang dari mana??",Negatif
"Keamanan dan kenyamanan pengunjung adalah prioritas utama kami. Untuk itu, sesuai dengan instruksi pemerintah terkait pencegahan penyebaran COVID-19, maka kami selaku pihak management memutuskan untuk memperpanjang…  https://www.instagram.com/p/B_3tv_CHoAg/?igshid=1njjkrjgm1x48 …",Positif
"Lur, satu persatu 10 rencana Aksi Tim penggerak PKK Kabupaten Trenggalek, Kubar mulai diimplementasikan. 

Gerakan 10 Rencana Aksi PKK itu untuk membantu pemerintah Kabupaten Trenggalek mencegah pandemi virus corona atau COVID-19. 

#Trenggalekmeroket 🚀 #Trenggalek
#COVID19 pic.twitter.com/UrJGMsJyOF",Positif
Kemarin pemerintah telah mulai melakukan repid test sebagai upaya untuk memperoleh indikasi awal apakah seseorang positif terinfeksi covid-19 atau tidak dari sini penanganannya jg akan lbh cepat jika dinyatakan positif corona #BUMNGotongRoyong keren,Positif
"Jgn cuma ambil alih soal bansos aja, tapi sebaiknya seluruh penanganan covid-19 di DKI Jakarta harus sesegera mungkin diambil alih oleh Pemerintah Pusat",Negatif
"Mungkin ada ego dari petani2, yg ngrasa panennya yg terbaik di pasar. Baput contohnya

Atau bsa jd krn horeca kena efek tiket pesawat mahal tahun lalu dan sepinya pariwisata. Yg coba dijawab pemerintah diawal tahun ini, tapi malah diframe aktivis2 dblg lamban soal covid.",Negatif
pemerintah telah menyiapkan obat untuk pasien COVID-19 yakni Avigan dan Klorokuin. #BUMNGotongRoyong Go !,Positif
pemerintah telah menyiapkan obat untuk pasien COVID-19 yakni Avigan dan Klorokuin. #BUMNGotongRoyong Top!,Positif
"Subsidi bunga kredit merupakan salah satu cara pemerintah untuk meredam dampak negatif dari virus corona atau covid-19
#IndonesiaTanggapCorona pic.twitter.com/A776u29e8m",Positif
"itu artinya masyarakat blm bisa merdeka dari covid di bulan agustus,kita hrs memahami informasi dr pemerintah dgn logika terbalik.",Positif
"Kritikan itu wajar...

Namun yg kita juga harus tahu Pemerintah Aceh @humasaceh  pun pasti sudah hitung2an bhw refocusing anggaran Rp. 1,7T itu SDH lebih dr cukup untuk dana pencegahan COVID-19..JK smua anggaran dipksakan aloksinya ke Covid-19 mlh yg kt tktkan nti jd mubazir..",Negatif
pemerintah telah menyiapkan obat untuk pasien COVID-19 yakni Avigan dan Klorokuin. #BUMNGotongRoyong keren,Positif
"Pemerintah menargetkan Mei bisa turun kasus covid wajar2 saja krn perjalanan penyakit di berbagai negara hanya sekitar 3 blnan. Indonesia mulai Maret, Mei ini harus baik. mbanyol ketika saat ini ilmu ttg penyakit ini sudah sangat cukup tp masih belum bisa dilaksanakan dgn baik.",Positif
"Tentu saja kita harus ikuti anjuran pemerintah demi memutus rantai penyebaran covid-19, tentu saja untuk kesehatan kita juga

#tidakmudik
#dirumahaja pic.twitter.com/xSihsMDHdF",Positif
"Dalam rangka menjaga stabilitas pangan selama pandemi COVID-19, Pemerintah Indonesia melalui @kementan bekerja sama dengan TNI & mitra lainnya mengoperasikan ATM Beras yg ditujukan bagi masyarakat tidak mampu & terdampak COVID-19 di 10 lokasi di Jabodetabek.
via @BNPB_Indonesia pic.twitter.com/4Z3WJTnRpK",Positif
"Besama kita cegah dan putus rantai penyebaran Virus Covid 19.
Ayo ikuti aturan dan anjuran Pemerintah
#polribantucegahcorona
#bersamacegahcorona
#dirumahsaja
#gunakanmasker😷
#janganmudikdulu
#AyoIkutiAturan pic.twitter.com/3qpjQFgINV",Positif
"Hai, mohon maaf atas ketidaknyamanannya kami mendukung langkah Pemerintah untuk memutus penyeberan Virus Covid-19 dengan adanya perubahan waktu opertional kami mengikuti peraturan Pemerintah.",Positif
Bambang Soesatyo: Mari  Dukung Kebijakan Pemerintah Terkait Covid-19  http://dlvr.it/RW8k4N  pic.twitter.com/F6LFuCsSoT,Positif
Kalau ring 1 pemerintah pusat udah ada yang terdampak covid-19 secara serius. Mungkin mereka nanti baru sadar bahwa kesehatan diatas segalanya.,Negatif
"Pemirsa..
Ternyata ditengah pendemi covid-19 ini, pemerintah menaikkan tagihan listrik! 
Boleh di check tagihannya masing2. 
Jangan dzolim ke rakyat pak @jokowi @pln_123",Negatif
Beberapa cara telah ditempuh agar penyebaran COVID-19 tak semakin luas seperti imbauan social distancing hingga beraktivitas dari rumah. Di sisi lain pemerintah terus mengupayakan mencari obat yg tepat utk corona #BUMNGotongRoyong Top!,Positif
Saya sebagai rakyat biasa mematuhi aturan pemerintah dan berdoa agar covid 19 hilang dari muka bumi termasuk Indonesia  https://twitter.com/jokowi/status/1258004302527778819 …,Positif
Beberapa cara telah ditempuh agar penyebaran COVID-19 tak semakin luas seperti imbauan social distancing hingga beraktivitas dari rumah. Di sisi lain pemerintah terus mengupayakan mencari obat yg tepat utk corona #BUMNGotongRoyong Go !,Positif
Beberapa cara telah ditempuh agar penyebaran COVID-19 tak semakin luas seperti imbauan social distancing hingga beraktivitas dari rumah. Di sisi lain pemerintah terus mengupayakan mencari obat yg tepat utk corona #BUMNGotongRoyong mantap,Positif
Beberapa cara telah ditempuh agar penyebaran COVID-19 tak semakin luas seperti imbauan social distancing hingga beraktivitas dari rumah. Di sisi lain pemerintah terus mengupayakan mencari obat yg tepat utk corona #BUMNGotongRoyong keren,Positif
Pemerintah bakal menyiapkan obat dari hasil riset dan pengalaman beberapa negara agar bisa digunakan untuk mengobati Covid-19 ini sesuai dengan resep dokter. #BUMNGotongRoyong Top!,Positif
Salah satu langkah cepat pemerintah adl dengan dilakukannya tes cepat atau rapid test sebagai upaya untuk mendeteksi secara dini apakah seseorang terpapar virus Corona penyebab Covid-19. #BUMNGotongRoyong Top!,Positif
Pemerintah bakal menyiapkan obat dari hasil riset dan pengalaman beberapa negara agar bisa digunakan untuk mengobati Covid-19 ini sesuai dengan resep dokter. #BUMNGotongRoyong Go !,Positif
Salah satu langkah cepat pemerintah adl dengan dilakukannya tes cepat atau rapid test sebagai upaya untuk mendeteksi secara dini apakah seseorang terpapar virus Corona penyebab Covid-19. #BUMNGotongRoyong Go !,Positif
Pemerintah bakal menyiapkan obat dari hasil riset dan pengalaman beberapa negara agar bisa digunakan untuk mengobati Covid-19 ini sesuai dengan resep dokter. #BUMNGotongRoyong mantap,Positif
Dari hari ke hari pemerintah terus melakukan langkah-langkah cepat dalam menangani penyebaran pandemi Covid-19 yang telah melanda lebih dari 180 negara di dunia. #BUMNGotongRoyong Top!,Positif
Dari hari ke hari pemerintah terus melakukan langkah-langkah cepat dalam menangani penyebaran pandemi Covid-19 yang telah melanda lebih dari 180 negara di dunia. #BUMNGotongRoyong Go !,Positif
Salah satu langkah cepat pemerintah adl dengan dilakukannya tes cepat atau rapid test sebagai upaya untuk mendeteksi secara dini apakah seseorang terpapar virus Corona penyebab Covid-19. #BUMNGotongRoyong mantap,Positif
Pemerintah bakal menyiapkan obat dari hasil riset dan pengalaman beberapa negara agar bisa digunakan untuk mengobati Covid-19 ini sesuai dengan resep dokter. #BUMNGotongRoyong keren,Positif
Pemerintah Mulai Lakukan Tes Cepat dan Siapkan Jutaan Obat Covid-19 #BUMNGotongRoyong Top! Mantap https://www.pikiran-rakyat.com/nasional/pr-01353973/pemerintah-mulai-lakukan-tes-cepat-dan-siapkan-jutaan-obat-covid-19,Positif
"Ikuti protokol yang telah ditentukan pemerintah untuk cegah covid 19 dengan tunda mudik kita lebih sayang sama keluarga

Kalo Sayang keluarga Tunda Dulu Mudiknya

#semuapedulicovid19
#Tundamudikjogjasehat
#dirumahajadulu pic.twitter.com/2cWHDpMK75",Positif
Pemerintah Mulai Lakukan Tes Cepat dan Siapkan Jutaan Obat Covid-19 #BUMNGotongRoyong Go ! Mantap https://www.pikiran-rakyat.com/nasional/pr-01353973/pemerintah-mulai-lakukan-tes-cepat-dan-siapkan-jutaan-obat-covid-19,Positif
Dari hari ke hari pemerintah terus melakukan langkah-langkah cepat dalam menangani penyebaran pandemi Covid-19 yang telah melanda lebih dari 180 negara di dunia. #BUMNGotongRoyong mantap,Positif
Salah satu langkah cepat pemerintah adl dengan dilakukannya tes cepat atau rapid test sebagai upaya untuk mendeteksi secara dini apakah seseorang terpapar virus Corona penyebab Covid-19. #BUMNGotongRoyong keren,Positif
"Ikuti protokol yang telah ditentukan pemerintah untuk cegah covid 19 dengan tunda mudik kita lebih sayang sama keluarga

Jangan Remehkan Ancaman Corona
#semuapedulicovid19
#Tundamudikjogjasehat
#dirumahajadulu pic.twitter.com/P6xztQm0VH",Positif
Apa yg di tweet nyatanya berbanding terbalik dengan kebijakan yg pemerintah ambil. Nyatanya pemerintahan anda fokus menghabisi nyawa rakyat. Sebenarnya anda ini presiden dimana? Pemerintahan mana yg anda suruh kerja kendalikan covid? Bikini bottom? @jokowi https://twitter.com/jokowi/status/1258004302527778819 …,Negatif
"Ikuti protokol yang telah ditentukan pemerintah untuk cegah covid 19 dengan tunda mudik kita lebih sayang sama keluarga

Tunda Mudik Kalau Anda Benar Sayang dengan Keluarga di Kampung Halaman 

#semuapedulicovid19
#Tundamudikjogjasehat
#dirumahajadulu pic.twitter.com/WZDDu5tlqM",Positif
Dari hari ke hari pemerintah terus melakukan langkah-langkah cepat dalam menangani penyebaran pandemi Covid-19 yang telah melanda lebih dari 180 negara di dunia. #BUMNGotongRoyong keren,Positif
Pemerintah Mulai Lakukan Tes Cepat dan Siapkan Jutaan Obat Covid-19 #BUMNGotongRoyong mantap Mantap https://www.pikiran-rakyat.com/nasional/pr-01353973/pemerintah-mulai-lakukan-tes-cepat-dan-siapkan-jutaan-obat-covid-19,Positif
